2026-02-15 22:43:51,989 | INFO | __main__ | SnortAMV started
2026-02-15 22:43:51,990 | ERROR | __main__ | Snort config not found
2026-02-15 22:44:20,643 | INFO | __main__ | SnortAMV started
2026-02-15 22:44:20,643 | ERROR | __main__ | Snort config not found
2026-02-15 22:45:00,725 | INFO | __main__ | SnortAMV started
2026-02-15 22:45:00,726 | WARNING | __main__ | Snort not detected, skipping scan
2026-02-15 22:45:00,726 | ERROR | __main__ | Failed to parse rule file
2026-02-15 22:45:14,957 | INFO | __main__ | SnortAMV started
2026-02-15 22:45:14,958 | WARNING | __main__ | Snort not detected, skipping scan
2026-02-15 22:45:14,958 | ERROR | __main__ | Failed to parse rule file
2026-02-15 22:45:41,283 | INFO | __main__ | SnortAMV started
2026-02-15 22:45:41,284 | WARNING | __main__ | Snort not detected, skipping scan
2026-02-15 22:45:41,284 | ERROR | __main__ | Failed to parse rule file
